GameID,Team,PA,AB,R,H,HR,RBI,BB,HBP,SO,GO,FO,NP,GDP,LOB,AVG,OPS,LI_b,WPA_b,RE24_b,IP,TBF,H_p,R_p,ER,BB_p,HBP_p,K,HR_p,GO-FO,NP-S,IR-IS,GSC,ERA,WHIP,LI_p,WPA_p,RE24_p
09월 20일,KIA,39,34,1,9,0,1,4,0,11,10,5,158,1,24,0.265,0.627,4.06,-0.446,-3.59,9,43,12,11,8,3,1,5,3,09월 10일,157-102,04월 04일,67,8,1.67,0.97,-0.054,-6.41
09월 20일,삼성,45,39,10,12,1,10,6,0,8,10,9,188,0,20,0.308,0.862,1.76,0.352,5.42,9,39,6,2,2,3,1,9,1,07월 13일,159-102,2-0,71,2,1,0.23,0.149,2.59
09월 20일,키움,39,35,2,6,1,2,3,1,9,7,13,159,0,22,0.171,0.542,0.83,-0.149,-2.6,9,45,12,10,10,6,0,8,1,10월 09일,188-117,0-0,34,10,2,0.3,-0.351,-5.41
09월 20일,롯데,41,35,8,11,1,8,3,1,10,6,9,172,1,17,0.314,0.832,3.39,0.755,3.4,9,38,10,6,5,2,1,8,0,09월 07일,150-101,01월 01일,44,5,1.33,1.04,-0.255,-1.41
09월 20일,한화,38,35,6,10,0,5,2,1,8,9,7,150,0,13,0.286,0.771,1.81,0.256,1.42,9,41,11,8,7,3,1,10,1,06월 09일,172-113,3-0,45,7,1.56,1.86,-0.754,-3.41
09월 21일,NC,39,36,5,9,0,5,3,0,6,9,12,157,1,18,0.25,0.558,2.04,0.221,0.41,9,37,9,1,1,4,0,10,0,07월 07일,148-94,0-0,52,1,1.44,0.74,0.28,3.59
09월 21일,두산,37,33,1,9,0,1,4,0,10,7,7,148,3,17,0.273,0.684,2.62,-0.281,-3.59,9,39,9,5,5,3,0,6,0,09월 12일,157-102,05월 03일,47,5,1.33,0.64,-0.219,-0.41
09월 21일,KT,40,33,4,7,0,3,6,0,6,9,10,167,2,18,0.212,0.545,7.64,0.405,-0.59,9,36,7,3,3,0,2,6,0,04월 15일,130-89,0-0,52,3,0.78,1.35,0.097,1.59
09월 21일,SSG,36,30,3,7,0,3,0,2,6,4,15,130,1,13,0.233,0.565,2.86,-0.096,-1.59,9,40,7,4,3,6,0,6,0,09월 10일,167-99,10월 04일,61,3,1.44,2.61,-0.404,0.58
09월 21일,LG,45,37,11,12,2,10,6,0,7,14,6,184,1,17,0.324,0.968,1.29,0.248,6.41,9,37,8,2,2,4,0,6,1,09월 09일,127-79,1-0,65,2,1.33,0.21,0.25,2.59
09월 21일,KIA,37,33,2,8,1,2,4,0,6,9,9,127,1,11,0.242,0.748,0.99,-0.251,-2.6,9,45,12,11,8,6,0,7,2,06월 14일,184-119,03월 03일,48,8,2,0.18,-0.25,-6.41
09월 21일,삼성,43,39,4,13,1,3,4,0,9,8,8,183,1,24,0.333,0.831,4.05,-0.353,0.41,8,38,11,5,3,1,1,5,1,09월 11일,144-93,0-0,26,3.38,1.5,0.47,-0.148,-0.92
09월 21일,키움,38,36,5,11,1,4,1,1,5,9,11,144,0,15,0.306,0.87,1.29,0.149,0.92,9,43,13,4,3,4,0,9,1,08월 08일,183-116,2-0,48,3,1.89,1.72,0.351,-0.41
09월 21일,롯데,44,37,9,12,1,7,4,2,9,9,7,159,1,14,0.324,0.878,2.21,0.046,4.4,9,32,5,0,0,1,0,10,0,10월 05일,133-91,0-0,69,0,0.67,0.65,0.454,4.59
09월 21일,한화,32,31,0,5,0,0,1,0,10,10,5,133,1,10,0.161,0.349,1.91,-0.455,-4.59,9,44,12,9,9,4,2,9,1,09월 07일,159-96,04월 04일,62,9,1.78,0.49,-0.045,-4.41
09월 22일,롯데,40,38,7,13,1,7,1,0,7,9,7,134,1,9,0.342,0.859,1.39,0.177,2.4,9,35,4,1,1,2,1,10,1,09월 08일,144-91,3-0,75,1,0.67,0.29,0.323,3.59
09월 22일,LG,35,32,1,4,1,1,2,1,10,9,8,144,0,11,0.125,0.419,1.11,-0.324,-3.6,9,40,13,7,7,1,0,7,1,09월 07일,134-93,01월 01일,39,7,1.56,0.18,-0.177,-2.4
09월 22일,한화,34,32,1,6,0,1,0,0,9,9,9,129,0,11,0.188,0.401,1.86,-0.435,-2.59,8,38,7,10,10,5,1,6,1,07월 09일,154-93,06월 05일,75,11.25,1.5,0.77,-0.064,-5.92
09월 22일,SSG,38,29,10,7,1,9,5,1,6,7,9,154,0,8,0.241,0.75,3.81,0.063,5.93,9,34,6,1,1,0,0,9,0,09월 09일,129-87,0-0,70,1,0.67,0.84,0.436,2.59
09월 22일,KT,52,45,9,16,2,9,6,1,8,14,6,206,4,20,0.356,1.042,4.72,0.486,5.4,11,47,12,7,5,1,0,8,2,12월 14일,157-115,3-0,46,4.09,1.18,1.22,0.014,-1.39
09월 22일,삼성,47,46,7,12,2,5,1,0,8,14,12,157,0,21,0.261,0.668,2.32,-0.013,1.38,11,52,16,9,9,6,1,8,2,06월 14일,206-118,0-0,38,7.36,2,1.74,-0.486,-5.39
09월 22일,KIA,38,33,3,10,0,3,4,0,7,9,7,123,1,18,0.303,0.681,1.33,0.018,-1.58,9,35,8,1,1,0,1,8,0,10월 08일,137-87,01월 01일,58,1,0.89,1.25,0.482,3.6
09월 22일,NC,35,33,1,8,0,1,0,1,8,10,8,137,1,11,0.242,0.56,2.92,-0.482,-3.59,9,38,10,3,3,4,0,7,0,09월 07일,123-77,1-0,45,3,1.56,0.52,-0.018,1.59
09월 22일,두산,38,34,5,12,1,4,1,1,9,9,5,145,3,14,0.353,0.819,2.66,0.233,0.41,9,39,8,2,2,4,0,5,0,12월 09일,180-113,3-0,42,2,1.33,0.98,0.266,1.6
09월 22일,키움,39,35,2,8,0,2,4,0,5,12,9,180,1,18,0.229,0.622,2.09,-0.267,-1.58,9,38,12,5,4,1,1,9,1,09월 05일,145-100,0-0,35,4,1.44,0.59,-0.233,-0.41
09월 23일,롯데,34,32,0,8,0,0,1,0,7,12,4,136,0,11,0.25,0.554,4.56,-0.732,-4.6,8,35,7,1,0,5,1,9,0,07월 06일,140-89,04월 01일,56,0,1.5,1.17,0.233,3.08
09월 23일,LG,35,29,1,7,0,1,5,1,9,7,6,140,1,16,0.241,0.612,2.58,-0.232,-3.08,9,34,8,0,0,1,0,7,0,12월 04일,136-83,3-0,66,0,1,2.34,0.734,4.59
09월 23일,한화,35,29,4,5,1,3,5,0,6,10,9,151,2,15,0.172,0.596,3.58,-0.285,-0.6,8,41,7,5,3,8,1,7,1,06월 10일,173-100,06월 01일,40,3.38,1.88,0.64,-0.216,-1.92
09월 23일,SSG,41,29,5,7,1,5,8,1,7,6,10,173,0,28,0.241,0.745,1.85,0.215,1.92,9,35,5,4,4,5,0,6,1,10월 09일,151-89,0-0,60,4,1.11,1.67,0.285,0.59
09월 23일,KT,38,34,3,7,0,2,3,1,11,8,8,139,0,17,0.206,0.554,5.04,-0.305,-1.61,8.1,36,10,5,5,2,0,7,1,12월 04일,121-85,0-0,54,5.4,1.44,2.15,-0.195,1.59
09월 23일,삼성,36,33,5,10,1,5,2,0,7,12,4,121,2,15,0.303,0.788,3.43,0.194,-1.61,9,38,7,3,2,3,1,11,0,08월 08일,139-91,2-0,54,2,1.11,1.66,0.306,1.59
09월 23일,KIA,38,34,2,8,0,2,3,1,7,9,9,150,0,15,0.235,0.61,2.08,-0.324,-1.57,8,42,9,5,5,9,0,6,1,08월 09일,162-89,07월 01일,41,5.63,2.25,0.74,-0.177,-0.92
09월 23일,NC,42,32,5,9,1,5,9,0,6,8,9,162,0,24,0.281,0.908,2.26,0.176,0.9,9,38,8,2,2,3,1,7,0,09월 09일,150-94,1-0,54,2,1.22,1.23,0.323,1.59
09월 23일,두산,39,35,1,10,0,0,3,0,7,9,9,142,3,24,0.286,0.628,3.2,-0.403,-3.61,8,36,8,5,3,2,0,9,0,11월 04일,154-102,03월 02일,47,3.38,1.25,0.42,-0.097,-0.92
