GameDate,Team,PA,AB,R,H,HR,RBI,BB,HBP,SO,GO,FO,NP,GDP,LOB,AVG,OPS,LI_b,WPA_b,RE24_b,IP,TBF,H_p,R_p,ER,BB_p,HBP_p,K,HR_p,GSC,ERA,WHIP,LI_p,WPA_p,RE24_p,NP_total,NP_strike,IR,IS,Result,home_away
2021-04-10,0,35,31,2,5,0,2,3,1,6,10,7,130,1,12,0.161,0.418,1.29,-0.065,-2.98,9.0,43,12,9,9,3,2,8,2,16,9.0,1.67,0.34,-0.436,-4.02,149,91,0,0,0,1
2021-04-10,3,36,33,0,6,0,0,3,0,12,7,7,143,0,19,0.182,0.523,1.63,-0.261,-4.98,8.0,44,17,13,13,5,0,7,2,28,14.63,2.75,0.36,-0.239,-8.58,171,99,2,2,0,0
2021-04-10,4,44,39,13,17,2,13,5,0,7,6,7,171,1,20,0.436,1.244,1.2,0.241,8.6,9.0,36,6,0,0,3,0,12,0,70,0.0,1.0,0.39,0.262,4.97,143,92,2,0,1,1
2021-04-11,5,30,29,0,3,0,0,1,0,9,10,5,96,0,5,0.103,0.236,4.92,-0.725,-4.96,8.0,29,3,1,1,2,0,8,0,76,1.13,0.63,1.07,0.226,3.42,130,83,0,0,0,0
2021-04-11,8,29,26,1,3,0,1,2,0,8,6,11,130,0,8,0.115,0.333,5.55,-0.227,-3.43,9.0,30,3,0,0,1,0,9,0,84,0.0,0.44,1.6,0.725,4.98,96,72,0,0,1,1
2021-04-11,1,35,33,2,6,0,2,2,0,10,5,7,142,1,10,0.182,0.471,2.34,-0.397,-2.98,8.0,39,10,3,3,6,0,9,0,52,3.38,2.0,2.48,-0.103,1.42,149,94,5,3,0,0
2021-04-11,6,39,32,3,10,0,3,6,0,9,9,7,149,0,30,0.313,0.796,4.37,0.104,-1.43,9.0,35,6,2,0,2,0,10,0,59,0.0,0.89,1.41,0.398,2.98,142,98,1,0,1,1
2021-04-11,7,39,32,2,7,1,2,6,0,7,7,8,167,0,21,0.219,0.646,4.29,-0.45,-2.98,8.0,37,9,4,4,5,0,8,2,52,4.5,1.75,0.57,-0.051,0.42,152,88,2,0,0,0
2021-04-11,2,37,31,4,9,2,4,5,0,8,8,11,152,1,15,0.29,0.926,1.19,0.049,-0.42,9.0,39,7,2,2,6,0,7,1,57,2.0,1.44,1.37,0.45,2.98,167,101,0,0,1,1
2021-04-11,9,41,36,7,12,2,7,3,0,4,10,9,155,0,16,0.333,0.968,2.05,0.381,2.03,9.0,37,10,3,3,1,0,7,0,46,3.0,1.22,1.02,0.119,1.97,158,99,1,0,1,0
2021-04-11,0,37,36,3,10,0,3,1,0,7,7,13,158,1,19,0.278,0.714,2.18,-0.12,-1.98,9.0,41,12,7,7,3,0,4,2,39,7.0,1.67,0.82,-0.38,-2.02,155,94,1,1,0,1
2021-04-11,3,47,39,3,6,0,3,7,1,10,8,10,201,0,20,0.154,0.503,2.88,-0.264,-3.08,11.0,52,11,2,2,9,1,11,0,39,1.64,1.82,2.31,0.764,4.08,215,119,2,0,1,0
2021-04-11,4,52,40,2,11,0,2,9,1,11,15,7,215,1,38,0.275,0.72,4.92,-0.761,-4.07,11.0,47,6,3,3,7,1,10,0,64,2.45,1.18,2.28,0.262,3.08,201,120,3,1,0,1
2021-04-13,7,44,36,8,14,1,8,6,0,4,11,6,174,3,22,0.389,0.965,2.06,0.458,3.01,9.0,40,12,7,7,2,0,9,0,54,7.0,1.56,1.31,0.042,-2.02,158,104,4,3,1,0
2021-04-13,1,40,38,7,12,0,6,2,0,9,9,10,158,1,14,0.316,0.718,2.3,-0.042,2.01,9.0,44,14,8,8,6,0,4,1,42,8.0,2.22,0.81,-0.457,-3.02,174,102,3,0,0,1
2021-04-13,8,35,32,2,6,1,2,2,1,2,10,6,144,1,9,0.188,0.538,1.46,-0.222,-2.97,8.0,41,13,8,8,6,0,4,0,31,9.0,2.38,0.34,-0.277,-3.58,168,94,4,2,0,0
2021-04-13,3,41,33,8,13,0,8,6,0,4,10,13,168,2,20,0.394,0.96,1.94,0.279,3.56,9.0,35,6,2,2,2,1,2,1,63,2.0,0.89,0.37,0.222,2.98,144,86,0,0,1,1
2021-04-13,9,40,36,4,7,2,4,3,1,11,5,14,163,0,22,0.194,0.636,1.83,0.12,-0.98,9.0,35,4,2,1,4,0,7,1,60,1.0,0.89,1.56,0.379,1.97,143,97,1,0,1,0
2021-04-13,5,35,31,2,4,1,2,4,0,7,11,6,143,0,10,0.129,0.455,2.6,-0.379,-1.98,9.0,40,7,4,4,3,1,11,2,58,4.0,1.11,1.03,-0.122,0.98,163,103,2,1,0,1
2021-04-13,6,37,35,3,8,0,3,2,0,12,9,6,155,0,18,0.229,0.556,3.95,-0.34,-2.0,8.0,37,5,4,4,9,1,6,0,28,4.5,1.75,0.59,-0.16,1.42,152,82,3,1,0,0
2021-04-13,2,37,26,4,5,0,4,9,1,6,7,8,152,1,23,0.192,0.597,1.12,0.16,-1.44,9.0,37,8,3,3,2,0,12,0,73,3.0,1.11,1.4,0.341,1.97,155,102,2,1,1,1
2021-04-13,4,50,38,8,12,0,8,10,1,8,11,6,204,1,29,0.316,0.828,1.35,0.342,3.01,9.0,32,2,0,0,2,0,10,0,74,0.0,0.44,0.16,0.158,4.98,135,87,0,0,1,0
2021-04-13,0,32,30,0,2,0,0,2,0,10,8,10,135,0,8,0.067,0.192,0.56,-0.155,-4.98,9.0,50,12,8,8,10,1,8,0,17,8.0,2.44,0.29,-0.343,-3.03,204,114,6,4,0,1
2021-04-14,7,34,32,1,7,0,1,2,0,7,4,7,153,1,16,0.219,0.546,3.67,-0.427,-3.99,8.0,34,6,3,3,5,0,11,0,43,3.38,1.38,0.56,-0.074,3.42,149,90,0,0,0,0
2021-04-14,1,34,28,3,6,0,3,5,0,11,10,7,149,1,11,0.214,0.619,2.31,0.073,-3.44,9.0,34,7,1,1,2,0,7,0,53,1.0,1.0,1.32,0.426,3.98,153,99,1,0,1,1
2021-04-14,8,49,42,13,14,4,12,6,1,8,12,7,205,0,18,0.333,1.119,0.88,0.287,8.02,9.0,31,3,2,2,3,0,6,0,70,2.0,0.67,0.14,0.214,0.97,121,72,0,0,1,0
