home_Team,away_Team,home_Recent_5_Win,home_Recent_5_Loss,home_OPS,home_BB,home_HBP,home_SO,home_ERA,home_BB_p,home_K,home_IR,home_IS,home_TBF,away_OPS,away_BB,away_HBP,away_SO,away_ERA,away_BB_p,away_K,away_IR,away_IS,away_TBF
9,0,4,0,1.061,4.8,0,6.8,3.826000000000001,5.2,9.2,6,1,40.0,0.694,4.4,0,6.8,5.126,6.2,6.6,0,0,41.0
1,2,1,4,0.847,3.2,0,9.0,3.656,3.6,4.2,0,0,37.6,0.732,2.4,0,5.6,3.576,1.0,7.8,0,0,36.2
8,7,2,3,0.747,3.6,0,5.4,3.1,4.2,8.0,3,0,39.8,0.726,2.6,1,8.6,3.6020000000000003,1.6,7.0,1,0,36.4
0,5,2,3,1.099,3.6,1,7.4,5.046,4.4,6.2,2,1,38.2,0.925,2.4,0,6.0,1.98,3.4,6.8,4,1,38.4
3,7,1,4,0.529,4.8,1,9.2,3.808,2.4,7.0,0,0,37.4,0.776,5.6,1,6.0,4.626,2.6,5.2,3,1,37.6
6,5,2,3,0.408,3.0,1,7.0,5.1,2.4,5.0,0,1,36.2,0.795,2.6,1,6.2,6.85,3.0,5.8,0,0,38.8
2,7,2,3,0.688,2.8,0,6.0,3.8,3.2,7.8,2,0,37.4,0.564,2.8,0,8.0,2.1019999999999994,2.8,8.6,0,0,35.2
5,9,2,3,0.606,2.6,1,6.0,7.55,3.0,9.0,3,2,37.2,0.973,3.0,1,8.4,4.199999999999999,2.6,6.8,2,0,38.2
6,2,3,2,0.753,3.6,0,7.2,6.401999999999999,3.6,8.0,2,1,38.8,0.895,3.6,0,6.6,5.352000000000001,4.0,6.8,2,0,37.6
2,0,4,1,1.281,2.6,0,7.6,4.976,3.2,5.6,0,0,38.4,0.676,3.8,0,9.0,3.43,5.0,6.8,5,4,41.4
3,8,1,4,0.419,4.2,1,6.8,2.526,2.0,9.4,2,2,41.2,0.717,3.6,4,7.4,5.248,5.2,7.2,0,0,41.4
3,2,2,3,0.721,2.4,0,6.6,3.726,3.0,5.0,2,0,39.2,0.946,2.6,0,6.0,6.526000000000001,5.0,7.2,0,0,41.2
3,0,1,4,0.839,5.8,0,6.4,3.9900000000000007,5.0,6.8,0,0,41.2,0.352,2.8,0,7.6,6.952,5.8,4.8,2,2,39.8
3,5,1,4,0.922,4.4,0,7.2,5.718,3.6,4.6,2,2,39.6,0.698,4.4,0,5.4,7.8,4.2,8.2,2,1,42.8
8,2,3,2,0.86,3.4,0,6.8,6.276,3.4,7.6,2,0,40.8,0.345,3.2,0,7.0,5.454,6.6,7.8,5,2,45.0
1,0,3,2,0.344,3.2,0,7.2,3.338,4.8,6.0,1,1,41.0,0.919,4.4,1,5.0,2.8,2.6,6.8,0,0,35.6
8,4,2,3,0.362,4.6,0,7.8,3.976,3.2,8.6,0,0,38.2,0.89,2.4,0,6.0,3.4,4.4,11.4,4,1,39.0
0,8,4,1,0.668,4.4,2,5.2,5.8,6.0,6.2,3,1,43.6,0.886,5.8,1,5.8,4.101999999999999,3.2,6.8,1,1,36.8
2,9,3,2,0.764,2.8,0,6.0,7.6,3.0,6.8,1,0,39.6,0.678,5.2,0,5.4,1.4,3.0,8.4,1,0,35.6
7,5,3,2,0.549,3.2,0,6.2,2.8,1.6,6.6,0,0,36.2,0.528,3.0,0,6.8,4.302,3.6,8.0,0,0,38.0
1,6,2,3,0.444,2.8,1,9.8,2.556,2.0,6.2,1,0,35.8,0.918,3.2,0,6.4,2.6,3.4,10.4,3,1,36.0
8,0,0,0,0.861,4.4,1,7.4,3.4,3.2,8.0,0,0,38.4,0.81,6.8,1,6.0,4.144,5.8,7.8,1,0,44.0
9,3,1,4,0.75,3.2,0,6.8,3.696,3.4,8.4,4,2,37.6,0.987,4.2,1,6.4,2.564,4.4,6.6,0,0,38.8
6,0,1,4,0.931,5.0,1,7.0,5.022,5.2,8.6,4,0,38.2,1.053,6.0,0,7.0,2.6,3.0,8.0,6,2,39.6
6,8,2,3,0.914,2.4,0,8.6,2.5,3.0,7.6,0,0,35.4,0.542,4.2,0,7.8,4.151999999999999,3.6,9.4,1,0,37.2
9,6,4,1,0.477,3.8,1,6.4,6.575999999999999,5.0,5.6,1,1,37.6,0.657,3.4,0,8.8,9.85,4.0,6.4,3,1,43.2
2,8,2,3,1.037,3.6,1,8.6,9.675999999999998,5.6,8.4,1,1,42.4,1.1,3.2,0,6.6,1.6,2.2,7.6,1,0,35.4
